timestamp,service,message,attack_type,predicted_attack_type
28012025 19:29:33,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 19:30:20,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 19:30:20,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 19:36:04,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 19:36:04,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 19:36:25,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 19:39:16,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 19:46:40,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 19:46:59,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 19:46:59,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 19:54:02,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 20:07:28,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 20:24:05,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 20:24:56,ftp,/dionaea/ftp.py:235: cmd 'b'MGLNDD_13.60.54.25_21'',FTP Attack,FTP Attack
28012025 20:30:10,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 20:30:10,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 20:35:13,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 20:35:13,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
28012025 20:53:08,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 20:53:08,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 21:07:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 21:07:38,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 21:07:42,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 21:07:45,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 21:07:49,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 21:07:50,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 21:09:52,ftp,/dionaea/ftp.py:235: cmd 'b'\x16\x03\x01\x01\x17\x01\x00\x01\x13\x03\x03\x8a\xe6\x8d\xd80\xfb\xbd\xc7\x10\x01\x9a\x83*\x08\xc4\xb5\x06\xf26\x82\xcf1\x8f7\x9d\xfc\xc9\xe2_s\x11\xc8'',FTP Attack,FTP Attack
28012025 21:10:11,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack,FTP Attack
28012025 21:10:11,ftp,/dionaea/ftp.py:235: cmd 'b'\x16\x03\x01\x01\x17\x01\x00\x01\x13\x03\x03)\x1e\x0b\x83\x1a\xb1y\xa7\xa1!\xaf\xa9\x82\xb0\xfd\x02*\x82@\xfd\xeaS<\x1ca\xaf\xd9i\xf8\x02\xadc'',FTP Attack,FTP Attack
28012025 21:10:12,ftp,/dionaea/ftp.py:235: cmd 'b'HELP'',FTP Attack,FTP Attack
28012025 21:10:12,ftp,/dionaea/ftp.py:235: cmd 'b'FEAT'',FTP Attack,FTP Attack
28012025 21:10:12,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack,FTP Attack
28012025 21:10:13,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack,FTP Attack
28012025 21:24:44,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 21:29:50,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 21:32:29,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 21:41:16,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 21:47:52,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
